[[1, 0, 2], [5, 6, 4], [3, 8, 7]]: 14
[[1, 2, 0], [5, 6, 4], [3, 8, 7]]: 13
[[1, 2, 4], [5, 6, 0], [3, 8, 7]]: 14
[[1, 6, 2], [5, 0, 4], [3, 8, 7]]: 15
[[1, 6, 2], [5, 4, 0], [3, 8, 7]]: 14
[[1, 2, 4], [5, 6, 7], [3, 8, 0]]: 15
[[1, 2, 4], [5, 0, 6], [3, 8, 7]]: 15
[[1, 6, 2], [5, 4, 7], [3, 8, 0]]: 15
[[1, 6, 2], [5, 8, 4], [3, 0, 7]]: 16
[[1, 6, 2], [5, 8, 4], [3, 7, 0]]: 15
[[1, 6, 2], [0, 5, 4], [3, 8, 7]]: 16
[[1, 6, 2], [3, 5, 4], [0, 8, 7]]: 15
[[1, 2, 4], [5, 8, 6], [3, 0, 7]]: 16
[[1, 2, 4], [5, 8, 6], [3, 7, 0]]: 15
[[1, 2, 4], [0, 5, 6], [3, 8, 7]]: 16
[[1, 2, 4], [3, 5, 6], [0, 8, 7]]: 15
[[1, 6, 2], [3, 5, 4], [8, 0, 7]]: 16
[[1, 6, 2], [3, 5, 4], [8, 7, 0]]: 15
[[1, 2, 4], [3, 5, 6], [8, 0, 7]]: 16
[[1, 2, 4], [3, 5, 6], [8, 7, 0]]: 15
[[0, 1, 2], [5, 6, 4], [3, 8, 7]]: 17
[[1, 6, 0], [5, 4, 2], [3, 8, 7]]: 17
[[1, 6, 2], [5, 8, 4], [0, 3, 7]]: 17
[[1, 2, 4], [5, 8, 6], [0, 3, 7]]: 17
[[1, 2, 4], [5, 6, 7], [3, 0, 8]]: 18
[[1, 0, 4], [5, 2, 6], [3, 8, 7]]: 18
[[1, 4, 0], [5, 2, 6], [3, 8, 7]]: 17
[[1, 6, 2], [5, 4, 7], [3, 0, 8]]: 18
[[1, 6, 2], [5, 8, 0], [3, 7, 4]]: 18
[[1, 2, 4], [5, 8, 0], [3, 7, 6]]: 18
[[1, 6, 2], [3, 5, 0], [8, 7, 4]]: 18
[[1, 2, 4], [3, 5, 0], [8, 7, 6]]: 18
[[5, 1, 2], [0, 6, 4], [3, 8, 7]]: 18
[[5, 1, 2], [3, 6, 4], [0, 8, 7]]: 17
[[1, 0, 6], [5, 4, 2], [3, 8, 7]]: 18
[[1, 4, 6], [5, 2, 0], [3, 8, 7]]: 18
[[5, 1, 2], [3, 6, 4], [8, 0, 7]]: 18
[[5, 1, 2], [3, 6, 4], [8, 7, 0]]: 17
[[0, 6, 2], [1, 5, 4], [3, 8, 7]]: 19
[[0, 2, 4], [1, 5, 6], [3, 8, 7]]: 19
[[1, 6, 2], [3, 0, 4], [8, 5, 7]]: 19
[[1, 6, 2], [3, 4, 0], [8, 5, 7]]: 18
[[1, 2, 4], [3, 0, 6], [8, 5, 7]]: 19
[[1, 2, 4], [5, 6, 7], [0, 3, 8]]: 19
[[1, 6, 2], [5, 4, 7], [0, 3, 8]]: 19
[[1, 2, 0], [5, 8, 4], [3, 7, 6]]: 19
[[1, 2, 0], [3, 5, 4], [8, 7, 6]]: 19
[[5, 1, 2], [6, 0, 4], [3, 8, 7]]: 19
[[5, 1, 2], [6, 4, 0], [3, 8, 7]]: 18
[[1, 4, 6], [5, 0, 2], [3, 8, 7]]: 19
[[1, 4, 6], [5, 2, 7], [3, 8, 0]]: 19
[[1, 6, 2], [3, 4, 7], [8, 5, 0]]: 19
[[5, 1, 2], [6, 4, 7], [3, 8, 0]]: 19
[[1, 6, 2], [0, 8, 4], [5, 3, 7]]: 20
[[1, 2, 4], [0, 8, 6], [5, 3, 7]]: 20
[[5, 1, 2], [3, 6, 0], [8, 7, 4]]: 20
[[6, 0, 2], [1, 5, 4], [3, 8, 7]]: 20
[[6, 2, 0], [1, 5, 4], [3, 8, 7]]: 19
[[2, 0, 4], [1, 5, 6], [3, 8, 7]]: 20
[[2, 4, 0], [1, 5, 6], [3, 8, 7]]: 19
[[1, 0, 2], [3, 6, 4], [8, 5, 7]]: 20
[[1, 2, 0], [3, 6, 4], [8, 5, 7]]: 19
[[1, 6, 2], [0, 3, 4], [8, 5, 7]]: 20
[[1, 2, 4], [0, 3, 6], [8, 5, 7]]: 20
[[1, 2, 4], [3, 6, 0], [8, 5, 7]]: 20
[[5, 1, 2], [6, 8, 4], [3, 0, 7]]: 20
[[5, 1, 2], [6, 8, 4], [3, 7, 0]]: 19
[[1, 4, 6], [5, 8, 2], [3, 0, 7]]: 20
[[1, 4, 6], [5, 8, 2], [3, 7, 0]]: 19
[[1, 4, 6], [0, 5, 2], [3, 8, 7]]: 20
[[1, 4, 6], [3, 5, 2], [0, 8, 7]]: 19
[[6, 2, 4], [1, 5, 0], [3, 8, 7]]: 20
[[2, 4, 6], [1, 5, 0], [3, 8, 7]]: 20
[[1, 4, 6], [3, 5, 2], [8, 0, 7]]: 20
[[1, 4, 6], [3, 5, 2], [8, 7, 0]]: 19
[[1, 2, 4], [5, 0, 7], [3, 6, 8]]: 21
[[1, 2, 4], [5, 7, 0], [3, 6, 8]]: 20
[[0, 1, 4], [5, 2, 6], [3, 8, 7]]: 21
[[1, 6, 2], [5, 0, 7], [3, 4, 8]]: 21
[[1, 6, 2], [5, 7, 0], [3, 4, 8]]: 20
[[1, 6, 0], [5, 8, 2], [3, 7, 4]]: 21
[[1, 6, 2], [5, 0, 8], [3, 7, 4]]: 21
[[1, 2, 4], [5, 0, 8], [3, 7, 6]]: 21
[[1, 6, 0], [3, 5, 2], [8, 7, 4]]: 21
[[1, 6, 2], [3, 0, 5], [8, 7, 4]]: 21
[[1, 2, 4], [3, 0, 5], [8, 7, 6]]: 21
[[0, 1, 6], [5, 4, 2], [3, 8, 7]]: 21
[[5, 1, 2], [3, 0, 4], [8, 6, 7]]: 21
[[5, 1, 2], [3, 4, 0], [8, 6, 7]]: 20
[[1, 6, 0], [3, 4, 2], [8, 5, 7]]: 21
[[5, 1, 0], [6, 4, 2], [3, 8, 7]]: 21
[[1, 6, 2], [8, 0, 4], [5, 3, 7]]: 21
[[1, 6, 2], [8, 3, 4], [5, 0, 7]]: 20
[[1, 6, 2], [8, 3, 4], [5, 7, 0]]: 19
[[1, 6, 2], [8, 4, 0], [5, 3, 7]]: 20
[[1, 2, 4], [8, 0, 6], [5, 3, 7]]: 21
[[1, 2, 4], [8, 3, 6], [5, 0, 7]]: 20
[[1, 2, 4], [8, 3, 6], [5, 7, 0]]: 19
[[5, 1, 2], [3, 0, 6], [8, 7, 4]]: 21
[[6, 5, 2], [1, 0, 4], [3, 8, 7]]: 21
[[6, 5, 2], [1, 4, 0], [3, 8, 7]]: 20
[[2, 5, 4], [1, 0, 6], [3, 8, 7]]: 21
[[1, 6, 2], [8, 3, 4], [0, 5, 7]]: 21
[[1, 2, 4], [8, 3, 6], [0, 5, 7]]: 21
[[1, 2, 4], [3, 6, 7], [8, 5, 0]]: 21
[[5, 1, 2], [6, 8, 4], [0, 3, 7]]: 21
